"Normal melting temperature, K",salt_name
351.1,"1,2-dimethyl-3-propylimidazolium hexafluorophosphate"
326.1,1-ethyl-3-methylimidazolium hexafluoroarsenate
363.1,tetrabutylammonium bis[(trifluoromethyl)sulfonyl]imide
258.1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
289.1,1-methyl-3-(1-methylethyl)imidazolium bis[(trifluoromethyl)sulfonyl]imide
300.1,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
352.1,1-ethyl-3-methylimidazolium iodide
391.1,"1,2,3,4,5-pentamethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
498.6,tetrabutylphosphonium hexafluorophosphate
383.6,1-methyl-1-propylpyrrolidinium hexafluorophosphate
311.2,1-methyl-3-propylpyridinium hexafluorophosphate
311.6,1-methyl-3-propylimidazolium hexafluorophosphate
272.2,1-octyl-3-methylimidazolium hexafluorophosphate
341.9,1-butyl-3-methylimidazolium chloride
282.2,1-butyl-3-methylimidazolium hexafluorophosphate
253,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
277.6,1-ethyl-3-methylimidazolium tetrafluoroborate
289.2,"1-methyl-3-(9E)-9-octadecen-1-yl-1H-Imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
252.3,1-oleyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide
226.4,"1-methyl-3-(9Z,12Z)-9,12-octadecadien-1-yl-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
381.1,"(t-4)-bis(2,4-pentanedionato-O,O')beryllium"
383.1,ammonium fluoride
369.1,choline pivalate
341.9,1-butyl-3-methylimidazolium chloride
353.65,decanoic acid cyclohexanamine salt (1:1)
357.65,dodecanoic acid cyclohexanamine salt (1:1)
360.75,tetradecanoic acid cyclohexanamine salt(1:1)
363.75,hexadecanoic acid cyclohexanamine salt (1:1)
356.95,tridecanoic acid cyclohexylamine salt (1:1)
363.95,heptadecanoic acid cyclohexanamine salt (1:1)
366.15,octadecanoic acid cyclohexanamine salt (1:1)
387.1,3-p-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate
350.6,3-m-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate
372.6,1-(2-hydroxyethyl)pyridinium bromide
304.8,Didecyldimethylammonium nitrate
279.2,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide
398,"lauric acid, thallium(1+) salt"
374,thallium methanoate
396.1,"2,2-dihydroxydiethylamine"
309,"1-hexyl-1,4-diazabicyclo[2.2.2]octan-1-ium bis((trifluoromethyl)sulfonyl)amide"
273.3,1-(2-methoxyethyl)-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
266.7,"N,N-dimethyl-N-ethyl-N-pentylammonium bis(trifluoromethylsulfonyl)"
361.1,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
281.1,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
285.1,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
255.1,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
257.1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
287.1,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
293.1,"N,N-dimethyl-N-propyl-1-butanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
289.1,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
263.1,"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
276.1,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide
272.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
359.1,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
255.1,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
285.1,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
361.1,"1-heptanaminium, N,N,N-triheptyl-, bromide"
276.1,1-propylpyridinium dicyanamide
240,1-ethylpyridinium dicyanamide
256.9,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
276.4,1-hexylpyridinium bis(trifluromethylsulfonyl)imide
317.6,1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide
303.6,1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide
299.1,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide
272.8,1-pentylpyridinium bis(trifluoromethylsulfonyl)amide
340.1,1-(2-methoxyethyl)-3-methylimidazolium chloride
340.1,1-(methoxymethyl)-3-methylimidazolium chloride
341.1,1-(methoxymethyl)-3-methylimidazolium hexafluorophosphate
344.55,tetraethylammonium tetrafluoroborate
346.75,"N,N,N-triethyloctan-1-aminium hexafluorostibate"
361.45,"N,N,N-triethyl-N-octylammonium hexafluorophosphate"
374.55,"N,N,N-triethyl-N-octylammonium tetrafluoroborate"
361.35,"N,N,N-triethyl-N-hexylammonium tetrafluoroborate"
350.25,tetraethylammonium hexafluorophosphate
321.1,"1-tetradecyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate"
378.1,"1-ethyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium bromide"
355.1,"1-butyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium bromide"
313.1,"1-ethyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate"
323.1,"1-butyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate"
378.1,1-butylpyridinium bromide
549.65,tetraphenylphosphonium chloride
363.85,"1-butanaminium, N.N.N-tributyl-, salt with 2,4,6-trinitrophenol (1:1)"
379,sodium bis(fluorosulfonyl)amide
375,potassium bis(fluorosulfonyl)amide
368,rubidium bis(fluorosulfonyl)amide
386,cesium bis(fluorosulfonyl)amide
310.07,1-ethyl-1-methylpyrrolidinium ethyl sulfate
263.85,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide
266.52,1-butyl-1-methylpyrrolidinium tricyanomethanide
277.78,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
292.85,1-butyl-1-methylpyrrolidinium tetracyanoborate
292.77,1-butyl-1-methylpyrrolidinium tetracyanoborate
359.6,cesium dinitramide
311.1,"1,1-dimethylhydrazinium azide"
361.75,1-ethyl-3-methylimidazolium chloride
342.95,1-butyl-3-methylimidazolium chloride
279.6,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate
270.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
290.1,"2,3,5-trimethyl-1-propyl-1H-pyrazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
285.1,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide
319.1,methyltripropylammonium bis[(trifluoromethyl)sulfonyl]amide
292.1,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide"
365.9,"1-butyl-2,3-dimethylimidazolium chloride"
358.79,N-hexylbenzothiazolium hexafluorophosphate
412.26,N-pentylbenzothiazolium hexafluorophosphate
394.85,3-butylbenzo[d]thiazol-3-ium hexafluorophosphate(V)
359.3,3-heptylbenzo[d]thiazol-3-ium hexafluorophosphate
334.22,N-octylbenzothiazolium hexafluorophosphate
375,dimethylammonium tetrafluoroborate
271.45,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
249.81,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
283.1,1-butyl-3-methylimidazolium hexafluorophosphate
314.1,1-butyl-3-methylimidazolium chloride
311.1,"1-butyl-2,3-dimethylimidazolium hexafluorophosphate"
346.1,1-butyl-3-methylimidazolium bromide
305.1,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
339.1,1-butyl-3-methylimidazolium chloride
314.1,1-butyl-3-methylimidazolium chloride
266.4,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
363.1,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
270.1,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
363.1,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
281.1,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
371.1,"1,1'-(oxybis(ethane-2,1-diyl))bis(3-methylimidazolium) hexafluorophosphate"
364,"1,1'-[ethane-1,2-diylbis(oxyethane-2,1-diyl)]bis(3-methylimidazolium) hexafluorophosphate"
340.1,1-butyl-3-methylimidazolium chloride
301.9,1-butyl-3-methylimidazolium hydrogen sulfate
285.1,pentylammonium formate
275.1,butylammonium formate
324.1,ethanolammonium nitrate
286.1,methanaminium formate
360.1,ethylammonium acetate
313.1,ethylammonium hydrogen sulfate
379.1,ethanolammonium glycolate
258.1,ethylammonium formate
299.1,2-methylpropylammonium formate
323.1,propylammonium formate
272.1,2-methylbutylammonium formate
320.1,3-methylbutylammonium formate
282.1,ethylammonium nitrate
372.1,ethanolammonium methyl sulfate
389.1,trimethylammonium dihydrogen phosphate
402.1,trimethylammonium hydrogen sulfate
354.1,diethylammonium hydrogen sulfate
326,1-butyl-1-ethylpyrrolidinium ethyl sulfate
306,1-ethyl-1-methylpyrrolidinium ethyl sulfate
306,"N,N-diethyl-N-methylethanaminium methyl sulfate"
284.1,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
255,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
269,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
298,1-hexyl-3-methylimidazolium trifluoromethanesulfonate
269,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
298.92,tetrabutylphosphonium L-valinate
289,1-ethylpyridinium triflate
314.15,"1,1,3,3-tetramethylguanidinium trifluoromethanesulfonate"
340.15,"1,1,3,3-tetramethylguanidinium formate"
223.1,"1,1,3,3-tetramethylguanidinium lactate"
315.15,"N,N,N',N'-tetramethylguanidine 2,2,2-trifluoroacetate"
358.1,"1,5-diamino-4-methyl-1H-tetrazolium dinitramide"
394.1,"1,5-diamino-4-methyl-4,5-dihydro-1H-tetrazol-1-ium nitrate"
370.1,"1,5-diamino-4H-1,2,3,4-tetrazolium perchlorate"
300.85,"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide"
373.35,"1-butyl-1',2,2',3,3',4,4',5-octamethylferrocenium, tetracyanoethylenide"
354.05,"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium tetracyanoethylenide"
307.55,"1-butyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide"
310.1,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
267.1,1-butyl-3-methylimidazolium dicyanamide
284.1,1-butyl-3-methylimidazolium hexafluorophosphate
271.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
286.1,1-butyl-3-methylimidazolium trifluoromethanesulfonate
298.1,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
256.1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
281,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
277,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
362.65,"1-butanaminium, N.N.N-tributyl-, salt with 2,4,6-trinitrophenol (1:1)"
394.1,"1,5-diamino-4-methyl-4,5-dihydro-1H-tetrazol-1-ium nitrate"
357.1,"1,5-diamino-4-methyl-1H-tetrazolium dinitramide"
333,"triethylhexylammonium 1,2,3-triazolide"
356,"triethylheptylammonium 1,2,3-triazolide"
302,"triethyl((2-methoxyethoxy)methyl)phosphonium 1,2,3-triazolide"
350,"triethyl(methoxymethyl)phosphonium 1,2,3-triazolide"
306,"(ethoxymethyl)triethylphosphonium 1,2,3-triazolide"
258,triethyl((2-methoxyethoxy)methyl)phosphonium 4-nitropyrazolide
324,cyclopentyltriethylphosphonium 4-nitropyrazolide
312,(buten-1-yl)triethylphosphonium 4-nitropyrazolide
322,(buten-1-yl)triethylphosphonium bis(trifluoromethylsulfonyl)amide
263,1-butylthianium bis(trifluoromethylsulfonyl)imide
245,triethyloctylphosphonium 4-nitroimidazolide
307,"1-hexyl-3-methylimidazolium 1,2,4-triazolide"
365,"1-cyclopentyl-2,3-dimethylimidazolium 4-nitropyrazolide"
284,decyltriethylphosphonium 4-nitropyrazolide
289,triethylnonylphosphonium 4-nitropyrazolide
278,triethyloctylphosphonium 4-nitropyrazolide
289,triethylheptylphosphonium 4-nitropyrazolide
320,butyltriethylphosphonium 4-nitropyrazolide
290,butyltriethylphosphonium 2-methyl-5-nitroimidazolide
280,"tributyl(methoxymethyl)phosphonium 1,2,3-triazolide"
297,"tributyl(octadecyl)phosphonium 1,2,3-triazolide"
339,"triethyloctylphosphonium 1,2,3-triazolide"
306,1-hexyl-3-methylimidazolium 4-nitropyrazolide
385,"stearic acid, thallium(1+) salt"
390,"palmitic acid, thallium(1+) salt"
269.1,1-butyl-3-methylimidazolium methyl sulfate
279,1-(3-azido-2-bromopropyl)-3-methyl-3H-imidazol-1-ium dicyanamide
271,1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium dicyanamide
296,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium dibromide
290,1-(3-azido-2-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide
283,1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide
292,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide)
352,1-ethyl-3-methylimidazolium bromide
351,1-ethyl-3-methylimidazolium iodide
343.6,1-methylimidazolium nitrate
311.8,1-ethyl-3-methylimidazolium nitrate
351.1,1-butyl-3-methylimidazolium bromide
287.1,1-nonyl-3-methylimidazolium hexafluorophosphate
305.1,1-decyl-3-methylimidazolium hexafluorophosphate
252.2,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
376.1,1-methyl-3-(2-phenylethyl)-1H-imidazolium hexafluorophosphate
403.1,1-benzyl-3-methylimidazolium hexafluorophosphate
280.1,1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
294.1,1-methyl-3-propylimidazolium hexafluorophosphate
331.1,1-ethyl-3-methylimidazolium hexafluorophosphate
321.1,"1-methyl-3-(3-phenylpropyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
310.1,"1-methyl-3-(2-phenylethyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
325.1,1-methyl-3-(3-phenylpropyl)-1H-imidazolium hexafluorophosphate
267.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
264.1,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide
401.1,"1,5-diamino-4H-1,2,3,4-tetrazolium perchlorate"
353.1,1-ethyl-3-methylimidazolium chloride
325.1,1-allyl-3-methylimidazolium chloride
399.1,"1,3-dimethylimidazolium chloride"
295.4,1-butyl-1-methylpyrrolidinium thiocyanate
272.9,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
292.8,1-butyl-1-methylpyrrolidinium tetracyanoborate
264.4,1-butyl-1-methylpyrrolidinium tricyanomethanide
256.4,diethylmethylsulfonium bis[(trifluoromethyl)sulfonyl]imide
350.7,1-methyl-1-propylpyrrolidinium triflate
336,1-hexyl-3-methylpyridinium trifluoromethanesulfonate
337.76,1-hexyl-3-methylpyridinium trifluoromethanesulfonate
290.45,1-butyl-1-methylpyrrolidinium tetracyanoborate
304.32,1-butyl-1-methylpiperidinium thiocyanate
358.04,1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide
357.71,1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide
317.2,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide
291.4,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
322.3,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate
326.6,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate
324.86,N-butyl-4-methylpyridinium tosylate
262.8,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide
403.7,"2,4,6-trimethylpyridinium 4-methylbenzenesulfonate"
323.7,1-butyl-3-methylpyridinium 4-methylbenzenesulfonate
291.4,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
424.8,"1,4-dimethylpyridinium 4-methylbenzenesulfonate"
329.3,1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate
279.16,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide
262.6,"1,3-diethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
304.8,Didecyldimethylammonium nitrate
279.8,(2-decanoyloxyethyl)dimethylpentyloxymethylammonium trifluoroacetate
283.5,(2-hydroxyethyl)-dimethylundecyloxymethylammonium dicyanamide
355.5,"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide"
322.9,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate
308.9,"1,3-dimethylimidazolium methylsulfate"
369.8,1-dodecyl-3-methylimidazolium chloride
341.95,1-butyl-3-methylimidazolium chloride
285.41,1-methyl-3-octylimidazolium chloride
321,2-butylisoquinolinium bis[(trifluoromethyl)sulfonyl]amide
292.4,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide
308.9,"1,3-dimethylimidazolium methylsulfate"
322.93,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate
277.15,1-butyl-3-methylimidazolium hexafluorophosphate
341.94,1-butyl-3-methylimidazolium chloride
332.8,1-ethyl-3-methylimidazolium hexafluorophosphate
276.4,1-butyl-3-methylimidazolium hexafluorophosphate
236.3,1-ethyl-3-methylimidazolium ethyl sulfate
329.3,1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate
335.35,tetrabutylphosphonium methanesulfonate
355.3,"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide"
359.3,"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide"
372.59,"N-(2-hydroxyethyl)-N,N-dimethylpropanaminium bromide"
372.6,"N-(2-hydroxyethyl)-N,N-dimethylpropanaminium bromide"
311.2,1-decyl-3-methylimidazolium chloride
322.43,trimethylsulfonium bis(trifluoromethylsulfonyl)imide
357.35,trimethylammonium bis((trifluoromethyl)sulfonyl)amide
383.15,tetrahexylammonium perchlorate
396.15,"1-heptanaminmium, N,N,N-triheptyl-, iodide"
322.65,tetrapentylammonium thiocyanate
345.15,"N-heptyl-N,N,N-trihexylammonium nitrate"
376.15,"1-heptanaminium, N,N,N-trihexyl- perchlorate"
295.15,tetrapentylammonium chloride
376.15,tetrapentylammoniumbromide
314.1,tetrabutylammonium chloride
367.15,"N,N,N-trihexyl-1-hexanaminium tetrafluoroborate"
345.15,tetrahexylammonium nitrate
387.15,tetrapentylammonium nitrate
395.15,butyltris(3-methylbutyl)ammonium bromide
351.15,"ammonium, trioctylpropyl-, bromide"
373.15,"1-heptanaminium, N-heptyl-N,N-dihexyl- iodide"
378.15,"1-heptanaminium, N-heptyl-N,N-dihexyl- perchlorate"
399.15,"N,N,N-triheptylheptan-1-aminium perchlorate"
377.15,tetrahexylammonium bromide
371.15,"1-heptanaminium, N,N,N-trihexyl- iodide"
381.15,"N,N,N-trihexylheptan-1-aminium bromide"
369.15,"1-heptanaminium, N,N,N-triheptyl-, bromide"
287.1,1-nonyl-3-methylimidazolium hexafluorophosphate
307.1,propylammonium formate
206,trihexyl(tetradecyl)phosphonium acetate
207,trihexyl(tetradecyl)phosphonium chloride
357,1-ethyl-3-methylimidazolium chloride
396.1,"3,4-benzo-1-azacyclohexane nitrate"
267,1-butyl-3-methylpyridinium trifluoromethanesulfonate
303,1-butyl-3-methylpyridinium trifluoromethanesulfonate
285,1-butyl-3-methylimidazolium trifluoromethanesulfonate
267,1-butyl-3-methylimidazolium dicyanamide
272,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
283,1-ethyl-3-methylimidazolium octyl sulfate
330.1,1-(2-hydroxyethyl)-3-methylimidazolium acetate
311.1,"1,3-dimethylimidazolium acetate"
352.1,1-isopropyl-3-methylimidazolium bromide
345.1,1-ethyl-3-methylimidazolium bromide
276.4,"4-methyl-1-propyl-1,2,4-triazolium trifluoromethanesulfonate"
288.1,1-(2-methoxyethyl)-3-methyl-imidazolium hexafluorophosphate
256.1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
362.1,cesium dinitramide
379.1,rubidium dinitramide
301.3,1-butyl-2-methylpyridinium tetrafluoroborate
265.8,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
272.11,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
306.1,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide
258.1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
263.1,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
279.6,1-methyl-1-propylpyrrolidin-1-ium bis((perfluoroethyl)sulfonyl)amide
282.1,1-butyl-1-methylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide
356.6,tetraethyammonium bis[(pentafluoroethyl)sulfonyl]imide
406.4,"1,1-dimethylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide"
263.4,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
266.6,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
284.6,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
271.9,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
338.1,1-butyl-3-methylimidazolium chloride
285.1,ethylammonium nitrate
384.8,lead(2+) nonanoate
374.7,lead(2+) diheptanoate
383.7,lead(2+) diundecanoate
393.2,mercury(II) stearate
387,mercury(II) tetradecanoate
394.2,mercury(II) dodecanoate
390.3,"palmitic acid, mercury(2+) salt"
387.2,mercury (II) octoate
389.3,"decanoic acid, mercuric salt"
385.1,difluorogermylene
385.1,difluorogermylene
